Date,Lag Ret,Ret
2007-01-03,0.022196,-0.012258
2007-01-04,-0.007121,0.022196
2007-01-05,0.004938,-0.007121
2007-01-08,0.08307,0.004938
2007-01-09,0.047856,0.08307
2007-01-10,-0.012371,0.047856
2007-01-11,-0.012317,-0.012371
2007-01-12,0.02621,-0.012317
2007-01-16,-0.022142,0.02621
2007-01-17,-0.061927,-0.022142
2007-01-18,-0.006399,-0.061927
2007-01-19,-0.019322,-0.006399
2007-01-22,-0.012559,-0.019322
2007-01-23,0.011669,-0.012559
2007-01-24,-0.00519,0.011669
2007-01-25,-0.010087,-0.00519
2007-01-26,0.006559,-0.010087
2007-01-29,-0.004538,0.006559
2007-01-30,0.002104,-0.004538
2007-01-31,-0.011548,0.002104
2007-02-01,0.000118,-0.011548
2007-02-02,-0.009557,0.000118
2007-02-05,0.002502,-0.009557
2007-02-06,0.023767,0.002502
2007-02-07,0.000348,0.023767
2007-02-08,-0.033767,0.000348
2007-02-09,0.019335,-0.033767
2007-02-12,-0.002945,0.019335
2007-02-13,0.007917,-0.002945
2007-02-14,-0.001055,0.007917
2007-02-15,-0.00446,-0.001055
2007-02-16,0.012613,-0.00446
2007-02-20,0.038417,0.012613
2007-02-21,0.003475,0.038417
2007-02-22,-0.004916,0.003475
2007-02-23,-0.004715,-0.004916
2007-02-26,-0.053243,-0.004715
2007-02-27,0.008102,-0.053243
2007-02-28,0.028956,0.008102
2007-03-01,-0.018952,0.028956
2007-03-02,0.010653,-0.018952
2007-03-05,0.021665,0.010653
2007-03-06,-0.005329,0.021665
2007-03-07,0.003192,-0.005329
2007-03-08,-0.000341,0.003192
2007-03-09,0.021598,-0.000341
2007-03-12,-0.016357,0.021598
2007-03-13,0.0181,-0.016357
2007-03-14,-0.004778,0.0181
2007-03-15,0.000223,-0.004778
2007-03-16,0.017189,0.000223
2007-03-19,0.003841,0.017189
2007-03-20,0.026126,0.003841
2007-03-21,0.000959,0.026126
2007-03-22,-0.004683,0.000959
2007-03-23,0.024914,-0.004683
2007-03-26,-0.004069,0.024914
2007-03-27,-0.023256,-0.004069
2007-03-28,0.00547,-0.023256
2007-03-29,-0.00896,0.00547
