date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
20100104,-0.018735,0.041833,0.041477,0.02719,0.057567,0.025113,0.029518,0.014997,0.026874,0.044257,0.110756,0.000926,0.01242,0.007775,0.012227
20100105,-0.006478,0.032505,0.055101,0.038235,0.008271,0.01768,0.01937,0.0227,0.023141,0.036558,0.104506,0.020512,-0.004292,-0.011459,0.027452
20100106,-0.019218,0.011728,0.017063,0.031162,-0.013926,-0.010673,0.005494,-0.002758,0.010232,0.012796,0.03559,0.016926,-0.003512,-0.013428,0.001425
20100107,0.026592,0.032947,0.037112,0.002747,0.040433,0.019568,0.019809,-0.019228,0.014126,0.014484,-0.02347,0.015158,-0.013137,0.009307,0.036286
20100108,0.009884,-0.00886,0.008824,-0.016438,0.014689,-0.018911,-0.002456,0.001746,0.005256,-0.020352,-0.024034,0.016981,0.003084,0.002766,-0.009269
20100111,-0.039487,0.008939,0.00243,0.011142,-0.008979,-0.015776,-0.003357,-0.015416,0.006536,-0.006512,-0.007036,-0.013819,0.004046,-0.002874,-0.002079
20100112,0.021082,-0.033668,-0.014542,-0.030303,-0.015533,-0.0218,-0.023355,-0.014023,0.00026,-0.028402,-0.013286,-0.014888,-0.004836,-0.004726,-0.025
20100113,-0.015829,0.015892,0.019183,-0.005682,0.00169,0.007448,0.017475,-0.00718,-0.015321,0.004176,0.059246,0.01052,0.010528,0.009266,0.017806
20100114,-0.018881,0.012034,0.012548,0.002857,0.00075,-0.003194,0.009943,-0.008762,0.009494,-0.001919,0.001695,0.008504,0.007213,0.003443,0.014346
20100115,0.006771,-0.033294,-0.032412,-0.025641,-0.051152,-0.0197,-0.0226,-0.010383,-0.011233,-0.026282,0.026227,0.022826,-0.019096,-0.014867,-0.03139
20100119,-0.010266,0.00369,0.013301,0.035088,0.007109,0.009987,-0.009158,0.020133,0.03963,0.025675,0.050289,0.00398,0.009085,0.019851,0.007123
20100120,-0.014664,0.010417,-0.038405,-0.022599,-0.033137,0.005573,0.002773,-0.022516,-0.016518,-0.017009,-0.018838,-0.015149,-0.017524,-0.004895,-0.016266
20100121,-0.038112,-0.061856,-0.078868,-0.054913,-0.038532,-0.041242,-0.065899,-0.030997,-0.034884,-0.042116,-0.0872,-0.02027,-0.03191,-0.033974,0.00647
20100122,-0.015472,-0.036846,-0.061471,-0.006116,-0.063489,-0.041959,-0.03404,-0.014087,-0.032932,-0.052488,-0.048203,-0.016875,-0.013185,-0.020367,-0.026429
