Date,AIG,BAC,BCS,C,CS,GS,JPM,LFC,MET,MS,RBS,SAN,TD,V,WFC
2010-01-04,-0.018735,0.343385,0.330491,-0.186966,0.91325,-0.262193,-0.102649,-0.628581,-0.198411,0.431179,2.839688,-1.138215,-0.721917,-0.890153,-0.728907
2010-01-05,-0.006478,0.16633,0.978455,0.372273,-0.704666,-0.366496,-0.305756,-0.186072,-0.170222,0.311999,2.754124,-0.264711,-1.156194,-1.413783,-0.01528
2010-01-06,-0.019218,0.306914,0.653856,1.57073,-1.361394,-1.149848,-0.09849,-0.635127,0.209628,0.376368,1.858687,0.644946,-0.68416,-1.329009,-0.363101
2010-01-07,0.026592,0.951835,1.153574,-0.510951,1.314432,0.303802,0.315475,-1.575346,0.040209,0.05755,-1.780815,0.090196,-1.280319,-0.193207,1.113565
2010-01-08,0.009884,-0.417281,0.923243,-0.991727,1.367835,-1.179191,0.06817,0.3867,0.652773,-1.288425,-1.567537,1.541579,0.488126,0.46402,-0.448285
2010-01-11,-0.039487,1.359032,0.621436,1.608675,-0.671426,-1.441658,-0.034344,-1.400863,1.086725,-0.391867,-0.451246,-1.219892,0.80456,0.020389,0.110478
2010-01-12,0.021082,-1.597971,0.284885,-1.266704,0.187327,-0.429628,-0.582709,0.335978,1.742066,-1.079561,0.408532,0.250823,1.240391,1.25122,-0.744651
2010-01-13,-0.015829,0.317253,0.506005,-0.9201,-0.497287,-0.167043,0.408044,-1.006016,-1.472934,-0.354705,2.803773,0.009148,0.009607,-0.062774,0.427028
2010-01-14,-0.018881,1.04996,1.125877,-0.30546,-0.616658,-1.199177,0.741125,-2.021557,0.674809,-1.010863,-0.477084,0.528588,0.337911,-0.218909,1.391437
2010-01-15,0.006771,-0.746688,-0.704222,-0.378219,-1.606497,-0.092177,-0.231804,0.356408,0.315483,-0.409081,2.11907,1.955322,-0.063097,0.140517,-0.655016
2010-01-19,-0.010266,-0.814172,-0.219189,1.129568,-0.602514,-0.424347,-1.609547,0.203756,1.410748,0.546842,2.070609,-0.79622,-0.480187,0.186299,-0.601647
2010-01-20,-0.014664,1.800686,-1.716532,-0.577841,-1.337016,1.451717,1.25,-0.571862,-0.139756,-0.175128,-0.306892,-0.041131,-0.21223,0.697585,-0.121601
2010-01-21,-0.038112,-0.735529,-1.436827,-0.449312,0.225974,0.114258,-0.902197,0.536595,0.376358,0.078228,-1.780304,0.978802,0.498958,0.413872,2.081125
2010-01-22,-0.015472,-0.184283,-1.525831,1.489859,-1.635769,-0.462835,-0.031415,1.055606,0.028948,-1.036445,-0.803002,0.903718,1.104746,0.713478,0.383225
2010-01-25,-0.064776,-0.478283,1.654504,-0.985718,1.159839,-0.468991,-0.658481,-0.531215,-0.361145,-0.809747,1.921014,1.013902,-0.299846,-1.087311,-0.068521
2010-01-26,0.020902,0.573669,-0.376678,-0.464153,-0.909445,-0.627034,0.031151,-1.178049,0.124033,0.500194,-1.59592,1.760856,1.681491,0.891417,-0.411533
2010-01-27,-0.030108,0.679133,0.038141,0.250132,-0.018306,-0.151585,0.498729,-0.427877,0.348444,0.545238,-0.846155,-2.930002,-0.094387,0.869508,1.238989
2010-01-28,0.002897,1.115945,-1.249456,1.15729,-0.803446,1.113719,0.604803,0.450239,-0.983326,-0.684629,-1.853209,0.37213,0.426768,-0.592909,0.92608
2010-01-29,-0.011143,-0.010346,0.03593,2.11175,-0.951209,-1.009798,-0.085716,1.497853,0.199327,-0.781569,-1.042786,-1.373589,0.48477,0.267996,0.657387
2010-02-01,0.000417,-0.514238,1.257222,-0.970917,0.542012,0.131766,-0.425105,-0.234473,-0.432852,0.107173,2.815837,-0.972783,-0.547605,-0.324726,-0.431312
2010-02-02,-0.007509,-0.376183,0.973364,0.235182,1.395624,0.49349,0.383793,-1.476575,-0.357023,0.049764,1.939828,-0.223819,-0.704747,-0.869292,-1.463406
2010-02-03,-0.050441,0.438363,1.607947,-0.081063,-0.671987,0.892671,0.300313,0.204718,-2.335538,0.3257,-1.33821,0.896616,0.153084,0.341835,-0.73445
2010-02-04,-0.007968,-0.17189,-1.920452,-0.406375,-1.430414,0.154447,-0.092877,0.24325,1.664905,0.020423,-0.960377,0.17399,0.918857,1.527147,0.279366
2010-02-05,-0.011156,0.936475,0.031503,0.597334,-1.083707,1.413447,-0.480081,-0.936642,-0.490636,1.457139,-1.933966,0.453684,0.218613,-0.836762,0.653599
2010-02-08,0.044224,-0.774221,-0.999274,-0.126375,-0.45115,-0.031664,0.177954,0.142776,-0.539748,-0.250252,-0.891183,2.697781,0.631216,1.260421,-0.846282
2010-02-09,0.163354,-1.170013,1.459235,-0.59007,1.898833,-0.608521,-0.09171,-0.131565,1.417619,0.000434,0.64879,-1.211401,-0.111921,-0.980389,-0.529322
2010-02-10,-0.023031,0.559678,0.427907,-0.409689,1.600851,-0.256943,0.389946,-0.146662,-2.024402,0.583485,-0.588172,-1.625742,0.898372,-0.453956,1.045327
2010-02-11,0.019772,-0.363177,-1.462723,0.047897,-0.414596,0.020431,0.099457,1.49333,-0.955905,-1.167483,-0.788441,1.287442,1.545662,1.088156,-0.43005
2010-02-12,0.022744,-0.873664,-2.311722,-0.50969,-0.185336,0.544459,0.419566,0.35915,0.996536,0.821809,-1.29744,1.385736,0.799045,0.120068,-0.268516
2010-02-16,-0.019322,0.377891,3.002123,0.141787,0.511574,-0.382676,-0.205004,-0.630078,-0.680645,-0.332423,0.80305,-0.833147,-0.631336,-0.656334,-0.484783
2010-02-17,-0.007063,2.162426,-0.0595,1.963114,-1.324084,-0.274714,-0.26464,0.222629,-0.600663,-1.322933,-0.007838,-0.453518,0.086421,0.241697,-0.368397
2010-02-18,-0.006739,1.350165,1.501322,0.281885,-0.835344,-1.753642,0.722564,0.33697,-0.558615,-1.103197,-1.095365,1.183344,0.073816,0.33201,-0.435914
2010-02-19,0.071617,0.114032,-0.105279,-0.298414,-1.892734,0.52294,-1.216549,-1.590651,0.844832,0.892656,1.579594,0.049512,0.960855,-0.13004,0.269247
2010-02-22,-0.058741,0.599212,0.631754,-0.088315,0.841153,-0.716588,0.576812,-0.164447,-0.454972,-0.145149,2.059329,-1.767139,-1.281519,-0.886256,0.796125
2010-02-23,0.045964,0.38255,-1.796255,-1.127104,-1.048011,2.04,-0.324502,0.171801,0.827786,0.028176,0.613846,-0.560784,0.177885,1.137178,-0.519991
2010-02-24,-0.017149,0.876317,0.093793,1.345693,-0.032792,-0.349864,0.863764,0.503537,0.620009,0.926794,-0.226418,-2.109237,-0.684111,-1.752759,-0.074725
2010-02-25,-0.0996,0.479359,-0.569247,-0.969628,0.464899,-0.713568,-0.394502,-0.474504,0.176632,-0.304971,3.137096,-0.055906,0.123345,-0.372436,-0.52657
